Rank Team                            W-L-T    Rating
411  Carthage                        6-4-0  -10.0638
412  St Norbert                      7-4-0   -10.072
413  Webber Int'l                    7-4-0  -10.1575
414  McPherson                       10-1-0 -10.2324
415  Glenville St                    5-6-0  -10.3737
416  Dickinson St                    9-2-0  -10.4159
417  Elizabeth City St               6-4-0  -10.5671
418  Otterbein                       6-4-0  -10.6707
419  Thomas More                     11-1-0 -10.7942
420  Cornell NY                      2-8-0    -10.81
421  UW-Eau Claire                   4-6-0  -10.8197
422  Shorter                         5-6-0  -10.8636
423  St Francis PA                   1-10-0 -10.8991
424  St Joseph's IN                  5-5-0  -11.0554
425  Missouri Valley                 8-2-0  -11.2996
426  Chicago                         8-2-0  -11.3216
427  Lake Erie                       3-8-0   -11.327
428  Dakota Wesleyan                 5-5-0  -11.3744
429  Huntingdon AL                   6-4-0  -11.3849
430  Merrimack                       4-6-0  -11.6712
431  Bucknell                        1-10-0 -11.6923
432  Case Western Reserve            8-2-0  -11.8168
433  Mississippi College             4-6-0  -11.8671
434  Concordia-Moorhead              5-5-0   -12.029
435  St Francis IL                   7-4-0  -12.2573
436  Chapman                         4-5-0  -12.3795
437  Midland                         8-3-0  -12.4079
438  Taylor                          6-5-0  -12.4279
439  Cumberland TN                   8-3-0  -12.7507
440  North Carolina A&T              1-10-0 -12.7626
441  Virginia St                     8-3-0  -12.8626
442  Morehead St                     5-6-0  -13.4292
443  Adrian                          5-5-0  -13.4346
444  TAMU-Commerce                   3-8-0  -13.4983
445  Millsaps                        7-3-0  -13.5227
446  Montana St-Northern             3-7-0  -13.6059
447  Mesa St                         3-7-0  -13.6117
448  Malone                          3-7-0  -14.0021
449  Bethel TN                       5-5-0  -14.0426
450  Dixie St                        2-8-0  -14.1726
451  Utica                           5-5-0  -14.3869
452  Birmingham-Southern             6-4-0  -14.4858
453  Gustavus Adolphus               4-6-0   -14.765
454  SW Oklahoma St                  3-8-0  -14.8031
455  Benedict                        5-6-0  -14.8599
456  Incarnate Word                  3-8-0  -14.9403
457  DePauw                          9-2-0  -14.9738
458  Findlay                         1-10-0  -15.018
459  Assumption                      6-5-0  -15.0883
460  Menlo                           4-7-0  -15.2511
461  Heidelberg                      5-5-0  -15.3668
