Rank Team                            W-L-T    Rating
295  Eastern Oregon                  8-3-0   5.65003
296  Florida A&M                     3-8-0   5.58019
297  Catawba                         6-5-0   5.26106
298  St Thomas                       8-2-0   5.17601
299  Indiana PA                      6-5-0   4.94743
300  Campbellsville                  7-3-0   4.93359
301  San Diego                       9-1-0   4.90089
302  Hillsdale                       4-7-0   4.65901
303  St Joseph's IN                  8-3-0   4.54501
304  Faulkner                        9-2-0    4.4725
305  Rhode Island                    0-11-0   4.0172
306  Drake                           6-4-0   4.01355
307  Northern Michigan               3-8-0   3.89368
308  Western Oregon                  6-5-0   3.78926
309  Northwood                       5-6-0    3.4278
310  Muhlenberg                      9-1-0   3.40198
311  Widener                         10-0-0  3.39575
312  Thomas More                     8-2-0   3.01511
313  Alabama A&M                     4-7-0   2.93541
314  St John Fisher                  8-2-0   2.52972
315  Shippensburg                    6-5-0   1.72492
316  Stonehill                       5-6-0   1.53992
317  Wingate                         6-5-0   1.48771
318  Mars Hill                       4-6-0   1.34074
319  Southern Arkansas               5-5-0   1.31068
320  Montana-Western                 6-5-0   1.25722
321  Wabash                          9-1-0   1.20208
322  UW-Oshkosh                      6-4-0   1.10168
323  UW-Platteville                  7-3-0   1.01132
324  East Central OK                 6-4-0  0.765227
325  Incarnate Word                  2-9-0  0.734887
326  Wash & Jeff                     9-1-0  0.251076
327  Albany St GA                    7-3-0  0.139204
328  Walsh                           4-7-0  -0.110153
329  Marist                          4-7-0  -0.264788
330  New Mexico Highlands            3-8-0  -0.628674
331  SE Oklahoma St                  7-4-0  -0.692626
332  East Stroudsburg                6-5-0  -0.778139
333  Adams St                        4-7-0  -0.878747
334  Heidelberg                      8-2-0  -0.890676
335  St John's MN                    9-1-0  -1.06838
336  Notre Dame OH                   7-4-0  -1.25409
337  Reinhardt                       6-4-0  -1.29526
338  Truman St                       6-4-0  -1.33501
339  Alderson-Broaddus               7-4-0  -1.41215
340  Merrimack                       4-7-0  -1.44016
341  Saginaw Valley St               2-9-0  -1.46179
